funny,user_id,review_id,text,business_id,stars,date,useful,cool
0,cjpdDjZyprfyDG3RlkVG3w,VfBHSwC5Vz_pbFluy07i9Q,"My girlfriend and I stayed here for 3 nights and loved it. The location of this hotel and very decent price makes this an amazing deal. When you walk out the front door Scott Monument and Princes street are right in front of you, Edinburgh Castle and the Royal Mile is a 2 minute walk via a close right around the corner, and there are so many hidden gems nearby including Calton Hill and the newly opened Arches that made this location incredible.

The hotel itself was also very nice with a reasonably priced bar, very considerate staff, and small but comfortable rooms with excellent bathrooms and showers. Only two minor complaints are no telephones in room for room service (not a huge deal for us) and no AC in the room, but they have huge windows which can be fully opened. The staff were incredible though, letting us borrow umbrellas for the rain, giving us maps and directions, and also when we had lost our only UK adapter for charging our phones gave us a very fancy one for free.

I would highly recommend this hotel to friends, and when I return to Edinburgh (which I most definitely will) I will be staying here without any hesitation.",uYHaNptLzDLoV_JZ_MuzUA,5,2016/7/12,0,0
0,bjTcT8Ty4cJZhEOEo01FGA,3zRpneRKDsOPq92tq7ybAA,"If you need an inexpensive place to stay for a night or two then you may consider this place but for a longer stay I'd recommend somewhere with better amenities. 

Pros:
Great location- you're right by the train station, central location to get to old town and new town, and right by sight seeing his tours. Food, bars, and shopping all within walking distance. Location, location, location.
Very clean and very good maid service

Cons:
Tiny rooms 
Uncomfortable bed 
Absolutely no amenities 
No phone in room 
No wardrobe 

Was given a lot of attitude about me and my husband sharing a room which was quite strange and we were charged 15 pounds more for double occupancy not sure why that matters I felt like it was a money grab. It was just handled in a kind of odd manner to me... 

If you book this hotel all you get is a bed, desk, and a bathroom. It isn't awful but know what you're getting into.",uYHaNptLzDLoV_JZ_MuzUA,3,2016/10/2,0,0
0,AXgRULmWcME7J6Ix3I--ww,ne5WhI1jUFOcRn-b-gAzHA,"Mittlerweile gibt es in Edinburgh zwei Ableger der Motel-One-Kette - diese hier ist eher das schlechtere.

Wir hatten auf unserer Schottlandtour die Gelegenheit beide Ableger kennenzulernen, da wir beide Nòchte in Edinburgh (am ersten sowie am letzten Tag) in einem der beiden Motel One's verbrachten. Von diesem hier waren wir nach dem 	berraschend positiven Erlebnis im Motel One an der Princes Street [1] etwas enttòuscht.

Das Hotel ist wesentlich gršer und extrem un	bersichtlich. Da man auf der f	nften Etage noch Teile eines weiteren Gebòude, das mittels einer Glasbr	cke mit dem Hauptgebòude verbunden ist, hinzugenommen hat, kann die Suche nach dem Zimmer insbesondere auf dieser Etage zu einem Gang im Labyrinth ausarten. Habe ich so noch in keinem Hotel erlebt - uns begegneten immer wieder Menschen, die sich auf der Suche nach ihren Zimmern verirrt haben.
Unser Zimmer war òhnlich aufgebaut wie das Zimmer im Motel One Princes Street - befand sich jedoch im Inneren des Gebòudes und hatte daher kein Fenster. Nur eine kleine Dachluke, die sich am oberen Ende eines etwa 3m langen Schachts befand, sorgte f	r einen minimalen Anteil Tageslicht im Zimmer. diese Luke lie sich auch nicht šffnen, nur ein elektrisches Rolches Rollo lie sich mittels eines Schalters šffnen bzw. schlieen.
Sonst gilt f	r das Zimmer eigentlich das Gleiche wie f	r das Zimmer im im Motel One Princes Street: Relativ klein, trotzdem extrem ansprechend und schick gestaltet und clever durchdacht. Dazu sehr ruhig.

Im gesamten Hotel gibt es kostenloses WLAN f	r die Dauer des Aufenthalts f	r maximal 3 Geròte.

Die Lage des Motel One Royal Mile ist groartig. Vom Airlink-Flughafenbus kann man quasi in den Hoteleingang stolpern, es sind maximal 50m. Zur Royal Mile sind es etwa 100m Luftlinie (bergauf) und man benštigt etwa 5 Minuten bis dort.

Das Fr	hst	ck f	r 9,50 GBP / Person kann man nutzen - muss man aber nicht. Es ist eher 	bersichtlich und kontinetaler Prògung, trotzdem aber sehr gut. F	r den gleichen Preis oder weniger bekommt man aber problemlos ein reichhaltiges Fr	hst	ck in einem der zahlreichen Cafes von Edinburgh.

F	r ein oder zwei Nòchte kann man hier problemlos bleiben, sollte aber nicht allzuviel erwarten. Hat man die Wahl, sollte man meiner Erfahrung nach lieber auf das andere Motel otel One an der Princes Street ausweichen. 


----
[1] http://www.yelp.de/biz/motel-one-edinburgh-2?hrid=7UDwl3s_DuOokkGPZXZgBw",uYHaNptLzDLoV_JZ_MuzUA,3,2015/9/17,0,0
0,oU2SSOmsp_A8JYI7Z2JJ5w,llmdwOgDReucVoWEry61Lw,Location is everything and this hotel has it! The reception is inviting and open 24 hours. They are very helpful and have a lot of patience answering all my questions about where to go etc. there is also a lounge open 24 hours with snack-type food. Breakfast is continental-style so if you want heartier fare look elsewhere though you don't have to go far. The bus and train stations are right across the street so it's easy access to the airport or anywhere else you may want to go. Turn uphill to old town or cross the bridge to new town. The room with a view i got was spacious and comfortable though it's a bit of a maze to find it-just follow the signs. The windows are double paned so the room is quiet plus i was on the 5th floor which helps. It's a bit pricey but still one of the best values i found!,uYHaNptLzDLoV_JZ_MuzUA,4,2016/8/21,0,0
0,0xtbPEna2Kei11vsU-U2Mw,DuffS87NaSMDmIfluvT83g,"gute lage im stadtzentrum. shoppingmeile und sehenswÃ¼rdigkeiten, sowie gute pubs in laufweite. das hotel ist neu, gut gepflegt und hat bemÃ¼htes/nettes personal. ideal fÃ¼r einen kurztrip nach edinburgh. lÃ¤ngere aufenthalte eher nicht, da die zimmer recht klein sind.",uYHaNptLzDLoV_JZ_MuzUA,5,2013/11/20,0,0
0,rW8q706dz5-NnXDzMwVkiw,GvLmUkjUrOyFH8KFnmT1uw,"Erstklassige Lage. Dazu ist alles geschrieben  worden.
Wir hatten Zimmer 718 mit Blick auf den Bahnhof. Ist zwar zu laut mit offenen Fenster nachts, aber der Ausblick verzeiht alles. Das Personal ist sehr freundlich und super hilfsbereit. Wer Edinburgh zu Fu erkunden mÃ¶chte, ist hier perfekt aufgehoben.",uYHaNptLzDLoV_JZ_MuzUA,5,2016/6/5,0,0
0,yx8vNXUL0D0HS8rUIC7AFA,lGEl24NGj2HVBJrodeXcjg,"Beautiful space, great location, staff rock. Tiny room, but this was expected. Bathroom amazing. Walls, however, paper thin, which is why I can barely string a sentence together in this review.",uYHaNptLzDLoV_JZ_MuzUA,4,2015/2/21,0,0
0,zXnH6W74FAJQ7q7b-NuBsA,cUgvEy5wj7zYE68v1BzzVg,"This is a fairly new property I think. It is a German company and has most of the amenities you would want. It is priced on the budget minded side so it won't break your bank.
Location is really good. Near the Royal Mile and Waverley station without being too noisy. Very easy to walk to everything we wanted to do. Has WiFi but we did have to re-log in every day.",uYHaNptLzDLoV_JZ_MuzUA,4,2013/7/7,0,0
0,c5yp5hxwC1N98MjbV2LyWQ,FSB_BnvysBgH3JYrbFNcgw,"First time at this group of hotels. Pretty new, only one in UK, another to open in Edinburgh and one in London. Rooms not very big but great price and location for a weekend in Edinburgh. Rooms clean, comfortable, good shower and free wifi!",uYHaNptLzDLoV_JZ_MuzUA,4,2013/4/27,2,2
0,xJisL5w4wOgiYLokGMT_IA,dhl3ZW9aAEX_T7_um5tfaQ,"Location location location! 

Motel One is just right in the middle of everything. To one side you have the New town and the main trains station ( and right in front of the airport bus)  and on the other side the beautiful old town of Edinburg. 

The room was small but clean and with all you need. 
The bathroom was also small but nice and clean and the shower was big and good! Next to the bed there is a European plug (CC 7/7) so we actually didn't need to use our adapter. 

The beed was to hard for my back and I prefer the bed more soft, but I will still come back to Edinburgh and Motel One.",uYHaNptLzDLoV_JZ_MuzUA,4,2015/4/13,2,0
